BTPBH,Paro
BOPIS,Pisiga
BOPOR,Poroma
BOPRV,Porvenir
BOPOI,Potosí
BOPRE,Presto
BOPUC,Pucarani
BOPTA,Puerto Acosta
BOPBU,Puerto Busch
BOPTC,Puerto Carabuco
BOPGM,Puerto Gonzalo Moreno
BOPPR,Puerto Pérez
BOQJR,Puerto Quijarro
BOPUR,Puerto Rico
BOPTS,Puerto Siles
BOPSZ,Puerto Suárez
BOQBA,Quiabaya
BOQUO,Quillacollo
BOQME,Quime
BOREY,Reyes
BORIB,Riberalta
BORBO,Roboré
BORBQ,Rurrenabaque
BOSAM,San Andrés de Machaca
BOSRJ,San Borja
BOSBV,San Buenaventura
BOSNM,San Ignacio de Moxo
BOSNG,San Ignacio de Velasco
BOSJV,San Javier
BOSJB,San Joaquín
BOSJS,San José
BOSLO,San Lorenzo
BOSLR,San Lorenzo
BOSLC,San Lucas
BOMQK,San Matias
BOSPH,San Pablo de Huacareta
BOSPD,San Pedro
BOSCH,San Pedro de Curahuara
BOSRD,San Ramón
BOSBL,Santa Ana
BOSRZ,Santa Cruz
BOSCS,Santa Cruz de la Sierra
BOSRB,Santa Rosa
BOSRA,Santa Rosa del Abuná
BOSDH,Santiago de Huari
BOSTH,Santiago de Huata
BOSMC,Santiago de Machaca
BOSAN,Santiváñez
BOSME,Santos Mercado
BOSAP,Sapahaqui
BOSIC,Sica Sica
BOSIP,Sipe Sipe
BOSOR,Sorata
BOSRE,Sucre
BOTAC,Tacacoma
BOTAQ,Tambo Quemado
BOTAR,Tarabuco
BOTRC,Taraco
BOTJA,Tarija
BOTEO,Teoponte
BOTIA,Tiahuanacu
BOTIP,Tipuani
BOTQY,Tiquipaya
BOTOM,Tomina
BOTDD,Trinidad
BOUMA,Umala
BOURI,Uriondo
BOUYU,Uyuni
BOVAH,Vallegrande
BOVIA,Viacha
BOVAB,Villa Abecia (Camataqui)
BOVIN,Villa Nueva
BOVSR,Villa Serrano
BOVLM,Villamontes
BOVL2,Villazon
BOVLL,Villazón
BOVVI,Viru Viru
BOWAB,Waldo Ballivian
BOYAC,Yaco
BOBYC,Yacuiba
BOYAM,Yamparáez
BOYAN,Yanacachi
BOYOT,Yotala
BOYUO,Yucumo
BOYUN,Yunchara
BOZUD,Zudáñez
LOCODE,Name
BYASH,Ashmyany
BYBNV,Baranovichi
BYBAR,Barysaw
BYBER,Berëza
